player_name,position,team,age_at_signing,start_year,end_year,contract_years,total_value_raw,aav_raw,aav,stat_season,mp_id,match_method,is_goalie,playerId,season,name,team_mp,position_mp,games_played,icetime,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_xGoals,I_F_highDangerGoals,I_F_highDangerShots,I_F_shotsOnGoal,I_F_rebounds,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_dZoneGiveaways,penaltiesDrawn,penalties,shotsBlockedByPlayer,faceoffsWon,faceoffsLost,OnIce_F_xGoals,OnIce_A_xGoals,OnIce_F_shotAttempts,OnIce_A_shotAttempts,OnIce_F_highDangerShots,OnIce_A_highDangerShots,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,ev_icetime,ev_I_F_goals,ev_I_F_primaryAssists,ev_I_F_secondaryAssists,ev_I_F_xGoals,ev_OnIce_F_xGoals,ev_OnIce_A_xGoals,ev_OnIce_F_shotAttempts,ev_OnIce_A_shotAttempts,pp_icetime,pp_I_F_goals,pp_I_F_primaryAssists,pp_I_F_secondaryAssists,pp_I_F_xGoals,pp_OnIce_F_xGoals,pp_OnIce_A_xGoals,pp_OnIce_F_shotAttempts,pp_OnIce_A_shotAttempts,sh_icetime,sh_I_F_goals,sh_I_F_primaryAssists,sh_I_F_secondaryAssists,sh_I_F_xGoals,sh_OnIce_F_xGoals,sh_OnIce_A_xGoals,sh_OnIce_F_shotAttempts,sh_OnIce_A_shotAttempts,ongoal,goals,xGoals,flurryAdjustedxGoals,highDangerShots,highDangerGoals,highDangerxGoals,mediumDangerShots,mediumDangerGoals,mediumDangerxGoals,lowDangerShots,lowDangerGoals,lowDangerxGoals,unblocked_shot_attempts
Kirill Kaprizov,LW,MIN                  MIN,28.0,2026,2033,8,"$136,000,000","$17,000,000",17000000.0,2024,8478864,exact,False,8478864,2024,Kirill Kaprizov,MIN,L,41.0,55269.0,57.65,0.62,0.44,0.59,0.45,25.0,22.0,9.0,20.38,10.0,25.0,145.0,18.0,16.0,12.0,59.0,14.0,11.0,8.0,17.0,0.0,2.0,63.94,38.89,1072.0,756.0,77.0,47.0,185.0,75.0,165.0,44612.0,12.0,13.0,6.0,8.39,31.24,25.77,739.0,647.0,7561.0,2.0,7.0,3.0,5.45,20.58,1.84,250.0,28.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,
Leon Draisaitl,C,EDM                  EDM,28.0,2025,2032,8,"$112,000,000","$14,000,000",14000000.0,2024,8477934,exact,False,8477934,2024,Leon Draisaitl,EDM,C,71.0,91664.0,119.47,0.66,0.45,0.63,0.47,52.0,30.0,24.0,31.42,14.0,27.0,241.0,26.0,23.0,35.0,88.0,22.0,29.0,17.0,27.0,650.0,546.0,127.9,65.88,2004.0,1169.0,146.0,69.0,332.0,175.0,272.0,72319.0,23.0,20.0,10.0,13.63,69.13,45.55,1414.0,994.0,13471.0,14.0,7.0,9.0,8.12,33.07,3.89,389.0,52.0,281.0,0.0,0.0,0.0,0.02,0.02,0.09,2.0,3.0,,,,,,,,,,,,,,
Shea Weber,D,CHI                  CHI,26.0,2012,2025,14,"$110,000,000","$7,857,143",7857143.0,2019,8470642,exact,False,8470642,2019,Shea Weber,MTL,D,65.0,93605.0,54.68,0.5,0.55,0.51,0.55,15.0,9.0,12.0,8.8,4.0,5.0,185.0,16.0,113.0,18.0,80.0,71.0,11.0,16.0,117.0,0.0,0.0,87.31,86.5,1671.0,1580.0,99.0,88.0,226.0,286.0,329.0,69650.0,8.0,8.0,6.0,4.59,59.35,48.3,1300.0,1096.0,8025.0,3.0,0.0,3.0,1.46,13.19,1.89,203.0,42.0,11829.0,0.0,0.0,0.0,0.26,2.84,26.01,48.0,362.0,,,,,,,,,,,,,,
Jack Eichel,C,VGK                  VGK,28.0,2026,2033,8,"$108,000,000","$13,500,000",13500000.0,2024,8478403,exact,False,8478403,2024,Jack Eichel,VGK,C,77.0,94865.0,89.47,0.58,0.51,0.53,0.49,28.0,27.0,39.0,26.32,9.0,33.0,233.0,14.0,22.0,28.0,90.0,23.0,15.0,4.0,55.0,572.0,682.0,119.48,84.75,1763.0,1553.0,155.0,102.0,322.0,262.0,254.0,70132.0,20.0,13.0,14.0,14.95,55.64,49.3,1188.0,1122.0,12441.0,5.0,9.0,18.0,6.12,37.89,3.57,379.0,48.0,6723.0,1.0,1.0,0.0,0.94,2.82,13.07,34.0,221.0,,,,,,,,,,,,,,
Sidney Crosby,C,PIT                  PIT,25.0,2013,2024,12,"$104,400,000","$8,700,000",8700000.0,2019,8471675,exact,False,8471675,2019,Sidney Crosby,PIT,C,41.0,49798.0,45.96,0.58,0.48,0.6,0.47,16.0,20.0,10.0,12.04,4.0,12.0,110.0,10.0,28.0,26.0,25.0,7.0,11.0,6.0,17.0,494.0,393.0,58.64,42.37,996.0,672.0,61.0,55.0,238.0,76.0,199.0,37236.0,9.0,13.0,5.0,6.92,27.7,28.44,640.0,568.0,8966.0,3.0,7.0,5.0,2.4,21.77,2.3,257.0,39.0,692.0,0.0,0.0,0.0,0.0,0.09,2.35,4.0,17.0,,,,,,,,,,,,,,
Nathan MacKinnon,C,COL                  COL,27.0,2023,2030,8,"$100,800,000","$12,600,000",12600000.0,2022,8477492,exact,False,8477492,2022,Nathan MacKinnon,COL,C,71.0,95072.0,125.2,0.62,0.43,0.63,0.45,42.0,42.0,27.0,30.83,12.0,22.0,366.0,25.0,53.0,43.0,47.0,7.0,31.0,15.0,40.0,519.0,649.0,115.41,70.98,2087.0,1251.0,109.0,80.0,376.0,143.0,353.0,73410.0,25.0,30.0,10.0,17.63,62.86,54.16,1406.0,1118.0,16397.0,10.0,5.0,12.0,7.3,32.68,2.88,478.0,50.0,359.0,0.0,0.0,0.0,0.05,0.07,0.07,2.0,2.0,,,,,,,,,,,,,,
Connor McDavid,C,EDM                  EDM,20.0,2018,2025,8,"$100,000,000","$12,500,000",12500000.0,2019,8478402,exact,False,8478402,2019,Connor McDavid,EDM,C,64.0,83861.0,80.82,0.59,0.44,0.56,0.43,34.0,38.0,25.0,24.76,13.0,31.0,211.0,13.0,37.0,53.0,73.0,17.0,24.0,14.0,18.0,319.0,349.0,98.81,68.08,1492.0,1196.0,108.0,71.0,301.0,108.0,234.0,65433.0,21.0,18.0,12.0,16.52,48.76,50.79,970.0,1047.0,13942.0,10.0,17.0,12.0,5.08,36.46,3.96,421.0,62.0,322.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,4.0,,,,,,,,,,,,,,
Kyle Connor,LW,WPG                  WPG,28.0,2026,2033,8,"$96,000,000","$12,000,000",12000000.0,2024,8478398,exact,False,8478398,2024,Kyle Connor,WPG,L,82.0,100342.0,86.77,0.56,0.51,0.53,0.48,41.0,31.0,25.0,30.19,8.0,24.0,267.0,30.0,21.0,33.0,80.0,25.0,11.0,11.0,46.0,1.0,7.0,106.67,85.23,1794.0,1617.0,112.0,97.0,396.0,156.0,252.0,78289.0,26.0,14.0,11.0,17.5,56.89,53.37,1239.0,1336.0,12864.0,6.0,8.0,10.0,6.16,33.22,3.77,368.0,67.0,3828.0,1.0,0.0,0.0,0.98,1.65,5.83,17.0,96.0,,,,,,,,,,,,,,
Mitchell Marner,RW,VGK                  VGK,28.0,2025,2032,8,"$96,000,000","$12,000,000",12000000.0,2024,8478483,exact,False,8478483,2024,Mitch Marner,TOR,R,81.0,103593.0,87.64,0.53,0.46,0.51,0.45,27.0,47.0,28.0,23.73,12.0,30.0,173.0,18.0,49.0,56.0,106.0,33.0,18.0,7.0,40.0,10.0,24.0,128.17,112.76,1851.0,1753.0,163.0,151.0,360.0,376.0,333.0,72408.0,15.0,19.0,16.0,10.71,56.72,49.17,1177.0,1179.0,13820.0,5.0,16.0,9.0,4.05,38.14,5.93,428.0,75.0,9742.0,1.0,1.0,0.0,1.53,2.62,26.02,42.0,303.0,,,,,,,,,,,,,,
Mikko Rantanen,RW,DAL                  DAL,28.0,2025,2032,8,"$96,000,000","$12,000,000",12000000.0,2024,8478420,exact,False,8478420,2024,Mikko Rantanen,DAL,R,82.0,104546.0,89.3,0.6,0.44,0.6,0.48,32.0,34.0,22.0,36.26,15.0,48.0,212.0,28.0,48.0,40.0,82.0,19.0,20.0,25.0,44.0,135.0,120.0,129.44,87.31,2137.0,1430.0,151.0,104.0,444.0,155.0,324.0,79609.0,12.0,19.0,8.0,18.58,64.22,57.48,1439.0,1231.0,18046.0,10.0,6.0,8.0,8.7,34.97,4.09,482.0,68.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Martin Necas,C,COL                  COL,26.0,2026,2033,8,"$92,000,000","$11,500,000",11500000.0,2024,8480039,exact,False,8480039,2024,Martin Necas,COL,C,79.0,90053.0,93.12,0.6,0.52,0.65,0.54,27.0,32.0,24.0,23.09,10.0,24.0,194.0,18.0,62.0,23.0,83.0,15.0,23.0,8.0,23.0,51.0,84.0,107.27,71.27,1982.0,1078.0,116.0,91.0,336.0,100.0,267.0,67850.0,12.0,17.0,8.0,12.55,56.85,47.99,1293.0,921.0,16181.0,12.0,11.0,12.0,6.54,32.25,4.02,477.0,66.0,238.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,6.0,,,,,,,,,,,,,,
William Nylander,C,TOR                  TOR,27.0,2024,2031,8,"$92,000,000","$11,500,000",11500000.0,2023,8477939,exact,False,8477939,2023,William Nylander,TOR,R,82.0,97975.0,94.78,0.59,0.48,0.57,0.48,40.0,36.0,22.0,30.99,9.0,34.0,316.0,30.0,32.0,68.0,45.0,12.0,20.0,12.0,29.0,56.0,63.0,134.17,92.1,2083.0,1594.0,164.0,121.0,355.0,192.0,307.0,71831.0,22.0,16.0,7.0,14.91,56.79,54.92,1251.0,1224.0,15743.0,10.0,10.0,11.0,8.43,41.47,5.76,543.0,91.0,4571.0,3.0,1.0,0.0,0.97,2.18,11.51,29.0,143.0,,,,,,,,,,,,,,
Erik Karlsson,D,PIT                  PIT,28.0,2019,2026,8,"$92,000,000","$11,500,000",11500000.0,2019,8474578,exact,False,8474578,2019,Erik Karlsson,S.J,D,56.0,82426.0,44.1,0.51,0.46,0.53,0.47,6.0,20.0,15.0,4.95,0.0,3.0,120.0,12.0,26.0,52.0,68.0,44.0,10.0,8.0,74.0,0.0,0.0,78.08,76.35,1369.0,1192.0,77.0,84.0,203.0,199.0,239.0,60326.0,4.0,11.0,11.0,3.09,44.23,44.35,939.0,840.0,9215.0,1.0,8.0,3.0,1.25,18.24,2.9,290.0,39.0,8440.0,1.0,0.0,0.0,0.09,2.07,13.63,31.0,222.0,,,,,,,,,,,,,,
David Pastrnak,RW,BOS                  BOS,26.0,2023,2030,8,"$90,000,000","$11,250,000",11250000.0,2022,8477956,exact,False,8477956,2022,David Pastrnak,BOS,R,82.0,96257.0,123.3,0.64,0.48,0.6,0.47,61.0,31.0,21.0,45.36,19.0,44.0,407.0,36.0,91.0,52.0,109.0,19.0,28.0,18.0,33.0,8.0,11.0,125.75,71.89,1910.0,1261.0,138.0,80.0,453.0,143.0,192.0,72410.0,34.0,14.0,13.0,22.23,61.05,55.0,1176.0,1059.0,17592.0,16.0,13.0,5.0,12.29,40.44,5.58,545.0,77.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Rasmus Dahlin,D,BUF                  BUF,23.0,2024,2031,8,"$88,000,000","$11,000,000",11000000.0,2023,8480839,exact,False,8480839,2023,Rasmus Dahlin,BUF,D,81.0,123553.0,77.08,0.55,0.43,0.58,0.45,20.0,24.0,15.0,14.26,4.0,12.0,235.0,18.0,195.0,42.0,44.0,30.0,25.0,28.0,154.0,0.0,0.0,130.53,108.02,2449.0,1796.0,138.0,130.0,404.0,287.0,422.0,98154.0,8.0,13.0,8.0,6.57,72.84,71.91,1730.0,1487.0,13702.0,4.0,9.0,4.0,2.75,26.77,4.73,436.0,59.0,5367.0,0.0,0.0,0.0,0.46,2.57,10.27,42.0,139.0,,,,,,,,,,,,,,
Drew Doughty,D,LAK                  LAK,29.0,2019,2026,8,"$88,000,000","$11,000,000",11000000.0,2019,8474563,exact,False,8474563,2019,Drew Doughty,L.A,D,67.0,103715.0,34.63,0.49,0.52,0.52,0.54,7.0,12.0,17.0,7.96,3.0,8.0,141.0,13.0,106.0,15.0,82.0,68.0,6.0,18.0,86.0,0.0,0.0,83.77,86.92,1670.0,1561.0,86.0,94.0,291.0,300.0,335.0,79122.0,1.0,4.0,12.0,2.31,48.72,51.87,1162.0,1170.0,11954.0,4.0,4.0,4.0,2.64,19.05,2.83,338.0,43.0,8163.0,0.0,0.0,1.0,0.35,1.64,13.92,29.0,245.0,,,,,,,,,,,,,,
Adrian Kempe,LW,LAK                  LAK,29.0,2026,2033,8,"$85,000,000","$10,625,000",10625000.0,2024,8477960,exact,False,8477960,2024,Adrian Kempe,LAK,R,81.0,93095.0,78.56,0.56,0.53,0.54,0.52,35.0,27.0,11.0,29.58,13.0,29.0,237.0,25.0,100.0,13.0,78.0,26.0,20.0,18.0,36.0,11.0,13.0,91.95,73.05,1685.0,1423.0,107.0,70.0,308.0,261.0,281.0,68299.0,21.0,15.0,6.0,16.92,48.81,43.78,1161.0,1095.0,12705.0,6.0,8.0,2.0,5.59,23.71,2.83,351.0,53.0,6746.0,0.0,0.0,0.0,0.81,0.93,10.59,19.0,166.0,,,,,,,,,,,,,,
Thomas Harley,D,DAL                  DAL,24.0,2026,2033,8,"$84,700,000","$10,587,500",10587500.0,2024,8481581,exact,False,8481581,2024,Thomas Harley,DAL,D,78.0,109429.0,61.42,0.56,0.49,0.54,0.48,16.0,14.0,20.0,9.84,2.0,6.0,171.0,20.0,33.0,29.0,118.0,79.0,4.0,8.0,110.0,0.0,0.0,112.49,87.11,1957.0,1655.0,123.0,95.0,254.0,241.0,269.0,87096.0,11.0,7.0,11.0,6.75,70.8,63.98,1497.0,1366.0,10987.0,1.0,4.0,7.0,1.48,24.73,1.76,327.0,44.0,6772.0,0.0,0.0,0.0,0.38,1.27,8.84,29.0,136.0,,,,,,,,,,,,,,
Jonathan Huberdeau,LW,CGY                  CGY,29.0,2023,2030,8,"$84,000,000","$10,500,000",10500000.0,2022,8476456,exact,False,8476456,2022,Jonathan Huberdeau,CGY,C,79.0,79936.0,62.75,0.61,0.51,0.62,0.55,15.0,23.0,17.0,17.51,6.0,18.0,126.0,11.0,65.0,34.0,62.0,14.0,22.0,18.0,27.0,5.0,10.0,88.22,55.3,1638.0,998.0,86.0,60.0,357.0,135.0,270.0,63232.0,10.0,16.0,10.0,11.32,48.7,39.39,1110.0,849.0,12971.0,4.0,5.0,5.0,3.59,25.98,4.69,423.0,59.0,671.0,0.0,0.0,0.0,0.0,0.42,0.57,3.0,12.0,,,,,,,,,,,,,,
Artemi Panarin,LW,LAK                  LAK,27.0,2019,2025,7,"$81,500,000","$11,642,857",11642857.0,2019,8478550,exact,False,8478550,2019,Artemi Panarin,NYR,L,69.0,85300.0,86.75,0.59,0.39,0.58,0.4,32.0,34.0,29.0,19.0,10.0,16.0,208.0,14.0,25.0,56.0,82.0,17.0,16.0,10.0,18.0,1.0,1.0,88.41,62.23,1623.0,1191.0,83.0,63.0,305.0,153.0,277.0,66460.0,21.0,21.0,16.0,10.56,46.71,44.22,1062.0,1052.0,14325.0,6.0,6.0,12.0,4.14,29.34,3.83,437.0,56.0,114.0,0.0,0.0,0.0,0.02,0.27,0.0,5.0,2.0,,,,,,,,,,,,,,
Logan Cooley,C,UTA                  UTA,21.0,2026,2033,8,"$80,000,000","$10,000,000",10000000.0,2024,8483431,exact,False,8483431,2024,Logan Cooley,UTA,C,75.0,80376.0,59.0,0.53,0.51,0.52,0.51,25.0,20.0,20.0,20.19,6.0,23.0,158.0,14.0,63.0,24.0,66.0,15.0,21.0,23.0,32.0,340.0,420.0,81.23,73.0,1408.0,1285.0,87.0,70.0,298.0,134.0,207.0,61552.0,18.0,12.0,9.0,12.13,41.48,44.09,1021.0,1005.0,10275.0,7.0,5.0,8.0,6.17,21.08,1.95,247.0,41.0,4995.0,0.0,0.0,0.0,0.45,0.82,10.09,13.0,150.0,,,,,,,,,,,,,,
Aleksander Barkov,C,FLA                  FLA,26.0,2022,2029,8,"$80,000,000","$10,000,000",10000000.0,2021,8477493,exact,False,8477493,2021,Aleksander Barkov,FLA,C,67.0,81619.0,97.14,0.61,0.52,0.6,0.53,39.0,26.0,23.0,28.66,17.0,28.0,214.0,20.0,50.0,59.0,51.0,16.0,7.0,9.0,42.0,713.0,539.0,108.22,69.34,1615.0,1087.0,107.0,78.0,281.0,268.0,284.0,54897.0,15.0,14.0,9.0,14.54,52.04,39.02,1023.0,734.0,13654.0,11.0,6.0,7.0,7.28,29.66,3.59,391.0,55.0,8092.0,4.0,1.0,0.0,1.62,3.44,15.86,38.0,228.0,,,,,,,,,,,,,,
Jack Eichel,C,VGK                  VGK,21.0,2018,2025,8,"$80,000,000","$10,000,000",10000000.0,2019,8478403,exact,False,8478403,2019,Jack Eichel,BUF,C,68.0,90149.0,78.51,0.53,0.43,0.58,0.44,36.0,19.0,24.0,22.76,12.0,22.0,227.0,11.0,40.0,44.0,66.0,13.0,35.0,11.0,42.0,615.0,696.0,83.89,73.86,1601.0,1154.0,70.0,80.0,362.0,149.0,325.0,68775.0,17.0,8.0,11.0,12.17,41.67,45.74,1021.0,983.0,15187.0,9.0,8.0,8.0,3.91,22.46,4.68,397.0,52.0,1051.0,1.0,0.0,0.0,0.15,0.38,2.2,4.0,22.0,,,,,,,,,,,,,,
Tyler Seguin,C,DAL                  DAL,26.0,2019,2026,8,"$78,800,000","$9,850,000",9850000.0,2019,8475794,exact,False,8475794,2019,Tyler Seguin,DAL,C,69.0,79480.0,52.3,0.58,0.49,0.54,0.47,17.0,19.0,13.0,22.86,6.0,20.0,245.0,26.0,90.0,34.0,52.0,18.0,13.0,11.0,31.0,537.0,389.0,81.14,59.44,1467.0,1275.0,86.0,52.0,379.0,324.0,243.0,61780.0,9.0,9.0,7.0,13.68,43.32,37.92,987.0,1024.0,10116.0,3.0,6.0,4.0,4.58,20.43,2.11,303.0,50.0,2808.0,0.0,0.0,0.0,0.03,0.43,4.92,11.0,83.0,,,,,,,,,,,,,,
Sebastian Aho,LW,CAR                  CAR,26.0,2024,2031,8,"$78,000,000","$9,750,000",9750000.0,2023,8478427,exact,False,8478427,2023,Sebastian Aho,CAR,C,78.0,91857.0,99.07,0.59,0.54,0.62,0.58,36.0,34.0,19.0,27.18,13.0,33.0,216.0,20.0,48.0,50.0,57.0,18.0,14.0,16.0,18.0,571.0,484.0,112.22,76.62,1897.0,1186.0,142.0,100.0,381.0,146.0,211.0,66388.0,15.0,18.0,6.0,13.51,51.59,43.68,1237.0,915.0,12894.0,10.0,10.0,9.0,6.57,35.64,2.54,430.0,48.0,7957.0,1.0,1.0,0.0,1.72,2.75,11.83,49.0,134.0,,,,,,,,,,,,,,
Noah Dobson,D,MTL                  MTL,25.0,2025,2032,8,"$76,000,000","$9,500,000",9500000.0,2024,8480865,exact,False,8480865,2024,Noah Dobson,NYI,D,71.0,99140.0,54.05,0.56,0.44,0.56,0.47,10.0,16.0,13.0,9.54,2.0,5.0,196.0,21.0,57.0,36.0,108.0,59.0,10.0,15.0,126.0,0.0,0.0,96.49,75.78,1868.0,1471.0,103.0,93.0,265.0,206.0,258.0,79099.0,8.0,9.0,7.0,5.44,60.13,51.2,1365.0,1215.0,12125.0,1.0,6.0,5.0,2.33,19.85,2.54,318.0,51.0,2909.0,0.0,1.0,0.0,0.16,0.94,6.35,12.0,87.0,,,,,,,,,,,,,,
Matthew Tkachuk,LW,FLA                  FLA,24.0,2022,2029,8,"$76,000,000","$9,500,000",9500000.0,2021,8479314,exact,False,8479314,2021,Matthew Tkachuk,CGY,L,82.0,88065.0,121.15,0.67,0.5,0.65,0.51,42.0,39.0,23.0,34.58,15.0,35.0,253.0,21.0,93.0,41.0,91.0,18.0,33.0,33.0,20.0,20.0,23.0,108.4,54.6,1939.0,1041.0,92.0,47.0,364.0,204.0,265.0,71630.0,26.0,25.0,13.0,20.64,64.99,41.17,1364.0,937.0,13761.0,9.0,11.0,5.0,9.47,29.27,3.5,470.0,61.0,146.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,4.0,,,,,,,,,,,,,,
Charlie McAvoy,D,BOS                  BOS,24.0,2022,2029,8,"$76,000,000","$9,500,000",9500000.0,2021,8479325,exact,False,8479325,2021,Charlie McAvoy,BOS,D,78.0,115386.0,78.05,0.59,0.5,0.57,0.51,10.0,16.0,30.0,8.86,3.0,4.0,166.0,12.0,155.0,29.0,65.0,39.0,24.0,30.0,130.0,0.0,0.0,126.22,88.86,2135.0,1629.0,127.0,83.0,380.0,312.0,327.0,84523.0,3.0,7.0,15.0,5.64,74.57,44.82,1531.0,1116.0,13934.0,4.0,5.0,9.0,1.21,25.0,5.93,420.0,84.0,9453.0,0.0,0.0,0.0,0.01,2.42,21.36,40.0,261.0,,,,,,,,,,,,,,
Brayden Point,C,TBL                  TBL,25.0,2022,2029,8,"$76,000,000","$9,500,000",9500000.0,2021,8478010,exact,False,8478010,2021,Brayden Point,TBL,C,66.0,77069.0,56.35,0.6,0.47,0.58,0.47,28.0,14.0,16.0,26.43,12.0,22.0,176.0,10.0,75.0,33.0,24.0,6.0,16.0,12.0,27.0,366.0,351.0,96.38,64.73,1448.0,1029.0,84.0,64.0,353.0,141.0,251.0,58694.0,15.0,10.0,5.0,14.0,46.21,44.56,903.0,883.0,13574.0,9.0,4.0,8.0,7.4,30.62,4.02,402.0,59.0,71.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,,,,,,,,,,,,,,
Seth Jones,D,FLA                  FLA,26.0,2022,2029,8,"$76,000,000","$9,500,000",9500000.0,2021,8477495,exact,False,8477495,2021,Seth Jones,CHI,D,63.0,99650.0,38.6,0.5,0.44,0.51,0.43,5.0,14.0,26.0,7.08,0.0,3.0,156.0,9.0,76.0,25.0,59.0,50.0,9.0,12.0,129.0,0.0,0.0,79.03,80.28,1537.0,1502.0,72.0,83.0,280.0,258.0,295.0,76920.0,5.0,5.0,15.0,4.53,42.24,47.53,1086.0,1168.0,11735.0,0.0,8.0,7.0,1.13,22.62,2.11,287.0,39.0,7092.0,0.0,1.0,0.0,0.3,1.68,11.61,24.0,197.0,,,,,,,,,,,,,,
Mark Stone,RW,VGK                  VGK,26.0,2019,2026,8,"$76,000,000","$9,500,000",9500000.0,2019,8475913,exact,False,8475913,2019,Mark Stone,VGK,R,65.0,75649.0,73.74,0.56,0.49,0.58,0.51,21.0,28.0,14.0,17.78,3.0,11.0,169.0,16.0,56.0,77.0,38.0,14.0,13.0,12.0,51.0,16.0,30.0,79.3,62.37,1516.0,1103.0,71.0,74.0,226.0,211.0,206.0,55114.0,13.0,17.0,8.0,14.52,51.88,34.33,1054.0,775.0,9324.0,6.0,5.0,4.0,1.79,14.7,2.32,310.0,25.0,7120.0,0.0,1.0,0.0,0.97,2.96,14.25,41.0,221.0,,,,,,,,,,,,,,
Nikita Kucherov,RW,TBL                  TBL,25.0,2019,2026,8,"$76,000,000","$9,500,000",9500000.0,2019,8476453,exact,False,8476453,2019,Nikita Kucherov,T.B,R,68.0,76402.0,84.42,0.64,0.46,0.62,0.46,32.0,27.0,23.0,19.63,5.0,15.0,209.0,14.0,37.0,30.0,59.0,16.0,19.0,19.0,19.0,0.0,1.0,86.38,49.46,1548.0,964.0,86.0,47.0,353.0,117.0,229.0,58578.0,20.0,14.0,13.0,13.43,48.72,35.63,1000.0,827.0,13586.0,4.0,10.0,8.0,3.59,25.04,5.26,404.0,80.0,56.0,0.0,0.0,0.0,0.0,0.27,0.08,1.0,1.0,,,,,,,,,,,,,,
Darnell Nurse,D,EDM                  EDM,26.0,2022,2029,8,"$74,000,000","$9,250,000",9250000.0,2021,8477498,exact,False,8477498,2021,Darnell Nurse,EDM,D,71.0,106707.0,51.82,0.53,0.54,0.51,0.54,9.0,12.0,14.0,10.71,1.0,4.0,203.0,8.0,196.0,33.0,67.0,50.0,9.0,27.0,132.0,0.0,0.0,108.65,95.24,1801.0,1754.0,100.0,82.0,227.0,313.0,350.0,86155.0,6.0,7.0,7.0,7.03,71.09,61.19,1487.0,1287.0,4546.0,0.0,3.0,2.0,1.36,11.09,1.16,133.0,12.0,11284.0,2.0,0.0,1.0,0.77,3.24,20.24,55.0,317.0,,,,,,,,,,,,,,
Mathew Barzal,C,NYI                  NYI,25.0,2023,2030,8,"$73,200,000","$9,150,000",9150000.0,2022,8478445,exact,False,8478445,2022,Mathew Barzal,NYI,C,58.0,65132.0,55.03,0.59,0.44,0.62,0.43,14.0,22.0,15.0,13.37,1.0,11.0,139.0,18.0,25.0,49.0,68.0,13.0,8.0,11.0,34.0,104.0,188.0,74.1,52.04,1398.0,847.0,73.0,55.0,281.0,39.0,147.0,50293.0,9.0,16.0,5.0,7.74,37.88,35.06,888.0,738.0,11652.0,4.0,2.0,9.0,3.56,26.34,2.3,385.0,48.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Roman Josi,D,NSH                  NSH,29.0,2020,2027,8,"$72,472,000","$9,059,000",9059000.0,2019,8474600,exact,False,8474600,2019,Roman Josi,NSH,D,69.0,106324.0,81.4,0.55,0.45,0.55,0.48,16.0,29.0,21.0,11.72,3.0,5.0,260.0,16.0,52.0,34.0,68.0,35.0,17.0,19.0,108.0,0.0,0.0,97.36,80.03,2036.0,1642.0,93.0,77.0,310.0,298.0,369.0,79949.0,10.0,18.0,11.0,7.06,57.85,50.55,1453.0,1272.0,12255.0,3.0,10.0,7.0,2.67,23.91,2.38,389.0,41.0,8039.0,0.0,0.0,0.0,0.23,1.78,13.76,34.0,200.0,,,,,,,,,,,,,,
Jackson Lacombe,D,ANA                  ANA,24.0,2026,2033,8,"$72,000,000","$9,000,000",9000000.0,2024,8481605,exact,False,8481605,2024,Jackson LaCombe,ANA,D,75.0,100353.0,43.54,0.48,0.44,0.49,0.45,14.0,18.0,11.0,10.27,4.0,11.0,134.0,13.0,69.0,35.0,78.0,48.0,11.0,15.0,129.0,0.0,1.0,92.27,100.29,1668.0,1716.0,107.0,127.0,239.0,367.0,306.0,76158.0,10.0,10.0,7.0,6.53,53.56,56.74,1245.0,1281.0,9109.0,2.0,3.0,3.0,2.05,15.78,1.72,236.0,25.0,9460.0,0.0,1.0,0.0,0.11,3.64,18.59,42.0,246.0,,,,,,,,,,,,,,
Jakob Chychrun,D,WAS                  WAS,26.0,2025,2032,8,"$72,000,000","$9,000,000",9000000.0,2024,8479345,exact,False,8479345,2024,Jakob Chychrun,WSH,D,74.0,93525.0,55.27,0.57,0.49,0.56,0.47,20.0,15.0,12.0,12.44,4.0,9.0,179.0,17.0,59.0,35.0,80.0,54.0,11.0,26.0,87.0,0.0,0.0,92.96,70.97,1757.0,1356.0,107.0,81.0,243.0,121.0,211.0,79525.0,13.0,6.0,7.0,6.38,54.96,56.32,1341.0,1227.0,9550.0,4.0,8.0,0.0,3.19,19.52,2.35,255.0,44.0,464.0,0.0,0.0,0.0,0.06,0.61,1.05,7.0,13.0,,,,,,,,,,,,,,
